File 	Number of CSVs 	Lines 	 Cumulative Lines
../source-data/Dimensions-Publication-2020-10-14_15-44-51-cleaned.csv 	1	778 	778
../source-data/Dimensions-Publication-2020-05-18_13-12-59.csv 	2	5 	783
../source-data/Dimensions-Publication-2020-06-09_13-59-10.csv 	3	276 	1059
../source-data/Dimensions-Publication-2020-07-13_17-42-25.csv 	4	414 	1473
../source-data/Dimensions-Publication-2020-05-30_19-23-27.csv 	5	238 	1711
../source-data/Dimensions-Publication-2020-09-29_17-54-53-cleaned.csv 	6	708 	2419
../source-data/Dimensions-Publication-2020-11-13_13-59-34-cleaned.csv 	7	941 	3360
../source-data/Dimensions-Publication-2020-09-15_13-36-37-cleaned.csv 	8	664 	4024
../source-data/Dimensions-Publication-2020-06-29_18-15-43.csv 	9	376 	4400
../source-data/Dimensions-Publication-2020-10-27_00-18-45-cleaned.csv 	10	835 	5235
../source-data/Dimensions-Publication-2020-08-05_18-42-10.csv 	11	492 	5727
../source-data/Dimensions-Publication-2020-05-20_03-39-17.csv 	12	192 	5919
../source-data/Dimensions-Publication-2020-11-30_19-18-15-cleaned.csv 	13	996 	6915
../source-data/Dimensions-Publication-2020-04-29_23-36-00.csv 	14	115 	7030
../source-data/Dimensions-Publication-2020-08-27_14-54-02.csv 	15	569 	7599
../source-data/Dimensions-Publication-2020-05-11_16-12-08.csv 	16	170 	7769
