File 	Number of CSVs 	Lines 	 Cumulative Lines
../source-data/Dimensions-Publication-2020-10-14_15-44-51-cleaned.csv 	1	778 	778
../source-data/Dimensions-Publication-2020-05-18_13-12-59.csv 	2	5 	783
../source-data/Dimensions-Publication-2021-06-02_21-42-02.csv 	3	4435 	5218
../source-data/Dimensions-Publication-2021-01-29_18-23-06-cleaned.csv 	4	1323 	6541
../source-data/Dimensions-Publication-2020-06-09_13-59-10.csv 	5	276 	6817
../source-data/Dimensions-Publication-2020-07-13_17-42-25.csv 	6	414 	7231
../source-data/Dimensions-Publication-2020-05-30_19-23-27.csv 	7	238 	7469
../source-data/Dimensions-Publication-2020-09-29_17-54-53-cleaned.csv 	8	708 	8177
../source-data/Dimensions-Publication-2020-11-13_13-59-34-cleaned.csv 	9	941 	9118
../source-data/Dimensions-Publication-2021-02-28_12-51-09-cleaned.csv 	10	1524 	10642
../source-data/Dimensions-Publication-2020-09-15_13-36-37-cleaned.csv 	11	664 	11306
../source-data/Dimensions-Publication-2020-06-29_18-15-43.csv 	12	376 	11682
../source-data/Dimensions-Publication-2020-10-27_00-18-45-cleaned.csv 	13	835 	12517
../source-data/Dimensions-Publication-2021-04-01_02-26-40-cleaned.csv 	14	1737 	14254
../source-data/Dimensions-Publication-2020-08-05_18-42-10.csv 	15	492 	14746
../source-data/Dimensions-Publication-2020-05-20_03-39-17.csv 	16	192 	14938
../source-data/Dimensions-Publication-2020-11-30_19-18-15-cleaned.csv 	17	996 	15934
../source-data/Dimensions-Publication-2020-12-29_04-45-33-cleaned.csv 	18	1179 	17113
../source-data/Dimensions-Publication-2021-05-12_20-06-22-cleaned.csv 	19	2039 	19152
../source-data/Dimensions-Publication-2020-04-29_23-36-00.csv 	20	115 	19267
../source-data/Dimensions-Publication-2020-08-27_14-54-02.csv 	21	569 	19836
../source-data/Dimensions-Publication-2020-05-11_16-12-08.csv 	22	170 	20006
../source-data/Dimensions-Publication-2020-12-16_18-01-35-cleaned.csv 	23	1057 	21063
